Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1288,ENVIRONMENTAL AND EXPERIMENTAL BOTANY,"7,208",3.712,0.010300
1288,JOURNAL OF IMMUNOTHERAPY,"2,890",3.712,0.006700
1290,Current Diabetes Reports,"2,199",3.711,0.007750
1291,CURRENT CANCER DRUG TARGETS,"2,760",3.707,0.005250
1292,Biogeosciences,"11,245",3.700,0.048120
1292,HUMAN-COMPUTER INTERACTION,"1,123",3.700,0.001300
1294,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,"1,278",3.698,0.004330
1294,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,"1,278",3.698,0.004330
1294,CHEMOSPHERE,"52,250",3.698,0.064830
1297,Aging and Disease,648,3.697,0.002490
1298,Journal of Translational Medicine,"6,671",3.694,0.021140
1299,LEARNING AND INSTRUCTION,"3,225",3.692,0.007300
1299,NEUROMOLECULAR MEDICINE,"1,714",3.692,0.004040
1301,SYSTEMATIC AND APPLIED MICROBIOLOGY,"4,531",3.691,0.005630
1302,TRANSPLANTATION,"23,045",3.690,0.033920
1303,Pediatric Obesity,881,3.689,0.004100
1304,FOOD QUALITY AND PREFERENCE,"5,616",3.688,0.006520
1305,BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,"14,800",3.687,0.027230
1305,RUSSIAN CHEMICAL REVIEWS,"3,643",3.687,0.003060
1305,Stem Cells International,"1,023",3.687,0.003520
1308,PALLIATIVE MEDICINE,"3,714",3.685,0.006890
1308,SOLAR ENERGY,"18,965",3.685,0.022770
1310,FOOD MICROBIOLOGY,"7,754",3.682,0.014130
1310,International Review of Sport and Exercise Psychology,335,3.682,0.001030
1312,MACROMOLECULAR BIOSCIENCE,"5,877",3.680,0.010700
1313,JOURNAL OF METAMORPHIC GEOLOGY,"4,867",3.673,0.005690
1314,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,"10,524",3.672,0.036470
1315,Journal of Integrative Plant Biology,"3,374",3.670,0.006890
1316,INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY,"9,248",3.669,0.022690
1316,QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,"14,502",3.669,0.033320
1318,Advances in Carbohydrate Chemistry and Biochemistry,743,3.667,0.000590
1318,Brain Imaging and Behavior,"1,004",3.667,0.004700
1318,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS,646,3.667,0.000780
1318,Structural Dynamics,95,3.667,0.000420
1322,REJUVENATION RESEARCH,"1,499",3.664,0.002830
1323,JOURNAL OF NATURAL PRODUCTS,"21,811",3.662,0.023920
1324,Cell Communication and Signaling,"1,503",3.661,0.005620
1324,Metabolomics,"2,775",3.661,0.007160
1326,LIMNOLOGY AND OCEANOGRAPHY,"25,922",3.660,0.022360
1327,JOURNAL OF PERSONALITY,"6,620",3.657,0.008350
1327,Journal of Chemical Information and Modeling,"13,322",3.657,0.024020
1327,LANDSCAPE ECOLOGY,"6,478",3.657,0.010980
1330,ANNALS OF SURGICAL ONCOLOGY,"20,826",3.655,0.055250
1331,LANDSCAPE AND URBAN PLANNING,"8,923",3.654,0.012570
1331,LANDSCAPE AND URBAN PLANNING,"8,923",3.654,0.012570
1331,PFLUGERS ARCHIV-EUROPEAN JOURNAL OF PHYSIOLOGY,"9,041",3.654,0.014190
1334,JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS,"8,382",3.652,0.011660
1335,JOURNAL OF COMPUTATIONAL CHEMISTRY,"30,171",3.648,0.029820
1336,IEEE Computational Intelligence Magazine,634,3.647,0.001650
1336,MITOCHONDRION,"2,906",3.647,0.008930
1338,DEVELOPMENT AND PSYCHOPATHOLOGY,"9,052",3.646,0.014850
1339,EUROPEAN RADIOLOGY,"14,583",3.640,0.034790
1340,ACTA DERMATO-VENEREOLOGICA,"4,665",3.638,0.007650
1340,Climate of the Past,"3,013",3.638,0.016480
1340,PSYCHOSOMATIC MEDICINE,"11,369",3.638,0.012740
1340,PSYCHOSOMATIC MEDICINE,"11,369",3.638,0.012740
1344,Future Microbiology,"2,767",3.637,0.010620
1344,JOURNAL OF PSYCHOPHARMACOLOGY,"5,017",3.637,0.012340
1346,BONE MARROW TRANSPLANTATION,"11,070",3.636,0.017080
1347,AUTOMATICA,"22,200",3.635,0.050940
1347,COMPUTER PHYSICS COMMUNICATIONS,"14,445",3.635,0.032170
1349,EUROPEAN JOURNAL OF ANAESTHESIOLOGY,"3,181",3.634,0.005750
1349,Frontiers in Human Neuroscience,"10,275",3.634,0.049730
1351,BIOPHYSICAL JOURNAL,"51,116",3.632,0.074970
1352,BMC PLANT BIOLOGY,"8,393",3.631,0.023890
1352,JOURNAL OF CLINICAL MICROBIOLOGY,"52,805",3.631,0.072790
1354,CYTOTHERAPY,"4,582",3.625,0.008290
1355,CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,"19,315",3.622,0.038180
1355,SURVEYS IN GEOPHYSICS,"1,733",3.622,0.006160
1357,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,"6,754",3.620,0.010550
1357,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,"8,566",3.620,0.008600
1359,CURRENT OPINION IN GASTROENTEROLOGY,"2,312",3.618,0.006810
1360,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,"7,957",3.617,0.014990
1361,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,"9,863",3.615,0.016260
1362,Biomaterials Science,"1,201",3.614,0.003740
1362,Obesity,"14,885",3.614,0.041400
1364,Arabian Journal of Chemistry,"1,712",3.613,0.003960
1365,FUEL,"35,054",3.611,0.055350
1365,HEALTH PSYCHOLOGY,"9,792",3.611,0.015850
1365,HEALTH PSYCHOLOGY,"9,792",3.611,0.015850
1365,HEART FAILURE REVIEWS,"1,890",3.611,0.005180
1369,INTERNATIONAL JOURNAL OF CLIMATOLOGY,"13,451",3.609,0.023760
1369,Journal of Cancer,"1,091",3.609,0.004230
1369,Journal of the Academy of Nutrition and Dietetics,"2,116",3.609,0.009560
1372,Clinical & Developmental Immunology,"3,153",3.603,0.012110
1372,INFECTION AND IMMUNITY,"47,850",3.603,0.047450
1374,EVOLUTIONARY COMPUTATION,"2,291",3.600,0.002790
1375,MOLECULAR AND CELLULAR NEUROSCIENCE,"6,625",3.597,0.010000
1376,APOPTOSIS,"5,641",3.592,0.008610
1377,TREE PHYSIOLOGY,"9,079",3.587,0.010250
1378,OIKOS,"19,749",3.586,0.022120
1378,POLYMER,"54,221",3.586,0.045500
1380,ChemistryOpen,339,3.585,0.001140
1381,FOOD AND CHEMICAL TOXICOLOGY,"20,398",3.584,0.032570
1382,CNS SPECTRUMS,"1,982",3.582,0.001870
1383,JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,"7,201",3.579,0.012110
1384,AIDS PATIENT CARE AND STDS,"3,035",3.578,0.007100
1384,AIDS PATIENT CARE AND STDS,"3,035",3.578,0.007100
1384,JOURNAL OF THE ATMOSPHERIC SCIENCES,"24,749",3.578,0.029090
1384,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,"1,735",3.578,0.004160
1388,NANOTECHNOLOGY,"38,662",3.573,0.072640
1389,Current Opinion in Chemical Engineering,751,3.571,0.002920
1389,PROGRESS IN HISTOCHEMISTRY AND CYTOCHEMISTRY,290,3.571,0.000400
1389,Toxins,"2,929",3.571,0.010010
1392,JOURNAL OF AFFECTIVE DISORDERS,"21,535",3.570,0.046800
1392,JOURNAL OF AFFECTIVE DISORDERS,"21,535",3.570,0.046800
1392,NEW JOURNAL OF PHYSICS,"23,658",3.570,0.106720
1395,NEURAL PLASTICITY,"1,487",3.568,0.004940
1396,AMERICAN JOURNAL OF SCIENCE,"7,113",3.566,0.004600
1397,HEARING RESEARCH,"8,627",3.565,0.013780
1398,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,"15,496",3.564,0.024630
1399,BIOCHEMICAL JOURNAL,"47,760",3.562,0.049610
1399,CELLULAR ONCOLOGY,"1,009",3.562,0.002090
1399,JOURNAL OF YOUTH AND ADOLESCENCE,"5,912",3.562,0.012300
1402,INTERNATIONAL JOURNAL OF NURSING STUDIES,"5,898",3.561,0.012370
1402,INTERNATIONAL JOURNAL OF NURSING STUDIES,"5,898",3.561,0.012370
1404,JOURNAL OF COGNITIVE NEUROSCIENCE,"16,535",3.559,0.032430
1404,JOURNAL OF COGNITIVE NEUROSCIENCE,"16,535",3.559,0.032430
1404,Journal of Global Health,288,3.559,0.001800
1404,ORGANIC & BIOMOLECULAR CHEMISTRY,"26,764",3.559,0.060400
1408,AQUATIC TOXICOLOGY,"12,343",3.557,0.018290
1409,BIOELECTROCHEMISTRY,"3,837",3.556,0.004450
1409,SEMINARS IN RADIATION ONCOLOGY,"2,013",3.556,0.003900
1411,Bone Research,191,3.549,0.000530
1411,Geoscientific Model Development,"2,754",3.549,0.017170
1413,GLOBAL AND PLANETARY CHANGE,"7,116",3.548,0.015310
1414,FARADAY DISCUSSIONS,"7,620",3.544,0.016710
1415,EXPERT OPINION ON PHARMACOTHERAPY,"4,440",3.543,0.010370
1416,Expert Review of Anti-Infective Therapy,"2,594",3.542,0.009220
1417,JOURNAL OF FINANCIAL ECONOMICS,"18,347",3.541,0.059590
1417,JOURNAL OF INHERITED METABOLIC DISEASE,"4,671",3.541,0.010590
1417,Journal of Computer-Mediated Communication,"3,160",3.541,0.003900
1420,CHRONOBIOLOGY INTERNATIONAL,"4,150",3.540,0.007270
1420,Metallomics,"2,939",3.540,0.010120
1420,PSYCHOPHARMACOLOGY,"23,351",3.540,0.030040
1420,SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES,"18,031",3.540,0.041670
1420,Surgery for Obesity and Related Diseases,"3,637",3.540,0.010070
1425,Journal of Neuropsychology,414,3.537,0.001220
1425,Journal of Neuropsychology,414,3.537,0.001220
1427,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,"5,655",3.536,0.009020
1427,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,"5,655",3.536,0.009020
1429,JOURNAL OF ACCOUNTING & ECONOMICS,"5,373",3.535,0.011820
1430,Recent Patents on Anti-Cancer Drug Discovery,527,3.533,0.001060
1431,IEEE INTELLIGENT SYSTEMS,"1,882",3.532,0.003500
1432,FEMS MICROBIOLOGY ECOLOGY,"12,170",3.530,0.020220
1432,MOLECULAR MEDICINE,"4,540",3.530,0.010940
1434,Alcohol Research-Current Reviews,183,3.528,0.000890
1435,TOXICOLOGY LETTERS,"13,230",3.522,0.020270
1436,PHYSIOLOGIA PLANTARUM,"13,272",3.520,0.009710
1437,FEBS LETTERS,"49,683",3.519,0.059610
1438,JOURNAL OF PARENTERAL AND ENTERAL NUTRITION,"4,291",3.517,0.006590
1439,JOURNAL OF PERSONALITY DISORDERS,"2,855",3.515,0.005110
1440,COMPLEXITY,909,3.514,0.001210
1440,SURGICAL ONCOLOGY-OXFORD,"1,507",3.514,0.003660
1442,PROGRESS IN OCEANOGRAPHY,"7,019",3.512,0.011690
1443,JOURNAL OF HYDROMETEOROLOGY,"6,766",3.511,0.014510
1444,Plant Genome,745,3.509,0.002430
1445,ChemElectroChem,"1,141",3.506,0.003550
1446,EARTH SURFACE PROCESSES AND LANDFORMS,"8,404",3.505,0.013530
1446,Maternal and Child Nutrition,"1,333",3.505,0.004270
1446,SEMINARS IN THROMBOSIS AND HEMOSTASIS,"3,400",3.505,0.006870
1449,METHODS,"15,431",3.503,0.021630
1450,Environmental Microbiology Reports,"2,086",3.500,0.008020
1450,Geobiology,"1,628",3.500,0.004190
1450,Publications Mathematiques de l IHES,"1,044",3.500,0.004460
1450,Review of Environmental Economics and Policy,608,3.500,0.003740
1450,Skeletal Muscle,538,3.500,0.002990
1455,JOURNAL OF HEADACHE AND PAIN,"1,786",3.497,0.004540
1456,CANCER JOURNAL,"2,582",3.496,0.007580
1457,HEMATOLOGICAL ONCOLOGY,805,3.494,0.002380
1457,JOURNAL OF GENERAL INTERNAL MEDICINE,"14,808",3.494,0.029150
1457,JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,"22,795",3.494,0.051980
1460,JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,"14,226",3.493,0.021320
1460,Journal of Neural Engineering,"3,789",3.493,0.013450
1462,POLITICAL ANALYSIS,"2,260",3.491,0.011410
1463,PEDIATRIC DIABETES,"2,447",3.488,0.007140
1463,SIAM REVIEW,"6,151",3.488,0.009130
1465,CLINICAL ENDOCRINOLOGY,"12,252",3.487,0.019250
1466,EUROPEAN POLYMER JOURNAL,"15,345",3.485,0.015590
1467,Expert Opinion on Drug Discovery,"1,991",3.484,0.006270
1468,CHEMICAL GEOLOGY,"26,920",3.482,0.035500
1469,CEMENT AND CONCRETE RESEARCH,"18,884",3.480,0.017420
1470,Business Strategy and the Environment,"2,359",3.479,0.002310
1471,Journal of Cancer Survivorship,"1,435",3.478,0.006410
1471,Journal of Cancer Survivorship,"1,435",3.478,0.006410
1473,Clinical Proteomics,393,3.476,0.001560
1474,ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,"6,345",3.475,0.010100
1475,Clinical and Translational Gastroenterology,245,3.472,0.000950
1476,BIOLOGY OF REPRODUCTION,"21,894",3.471,0.023140
1476,ORGANIC ELECTRONICS,"10,088",3.471,0.025200
1478,RESEARCH POLICY,"13,078",3.470,0.016510
1479,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,"20,377",3.467,0.033530
1479,MINERALIUM DEPOSITA,"3,557",3.467,0.003930
1481,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,"8,069",3.466,0.019340
1482,Expert Review of Proteomics,"1,420",3.465,0.003910
1483,CLINICAL ORAL IMPLANTS RESEARCH,"11,968",3.464,0.016950
1484,Journal of the European Economic Association,"2,691",3.461,0.021250
1485,ATMOSPHERIC ENVIRONMENT,"44,714",3.459,0.062580
1485,CHEMICAL RECORD,"1,770",3.459,0.003160
1485,REGIONAL ANESTHESIA AND PAIN MEDICINE,"3,668",3.459,0.006150
1488,Annual Review of Political Science,"2,115",3.457,0.006720
1489,CURRENT MEDICINAL CHEMISTRY,"14,747",3.455,0.025670
1490,JOURNAL OF VASCULAR SURGERY,"21,773",3.454,0.038980
1491,Environmental Health,"3,071",3.453,0.009950
1492,INDUSTRIAL CROPS AND PRODUCTS,"11,697",3.449,0.022660
1492,Plant Methods,"1,343",3.449,0.003500
1494,JOURNAL OF CELLULAR BIOCHEMISTRY,"15,253",3.446,0.022990
1495,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,"22,247",3.445,0.026840
1495,OSTEOPOROSIS INTERNATIONAL,"13,117",3.445,0.025130
1497,AMERICAN POLITICAL SCIENCE REVIEW,"10,490",3.444,0.022980
1498,ANNALEN DER PHYSIK,"2,650",3.443,0.005930
1498,JOURNAL OF NEUROSURGERY,"28,688",3.443,0.030640
1500,JOURNAL OF BIOMOLECULAR NMR,"5,447",3.439,0.009350
1500,NEUROBIOLOGY OF LEARNING AND MEMORY,"5,880",3.439,0.012000
1500,NEUROBIOLOGY OF LEARNING AND MEMORY,"5,880",3.439,0.012000
1503,EXPERT OPINION ON BIOLOGICAL THERAPY,"3,934",3.438,0.008910
1504,PALEOCEANOGRAPHY,"7,132",3.433,0.011770
1504,SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,"3,392",3.433,0.006940
1506,JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,"8,453",3.432,0.010010
1506,MOLECULAR ENDOCRINOLOGY,"12,547",3.432,0.017760
1508,JOURNAL OF ECONOMIC GEOGRAPHY,"2,456",3.429,0.006050
1509,JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,"2,895",3.428,0.005090
1509,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,"6,622",3.428,0.016830
1509,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,"6,622",3.428,0.016830
1512,CELL TRANSPLANTATION,"4,658",3.427,0.010520
1512,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,"47,257",3.427,0.084790
1514,CLINICAL NEUROPHYSIOLOGY,"16,039",3.426,0.021690
1514,Discovery Medicine,"1,614",3.426,0.006430
1514,NEUROGENETICS,"1,138",3.426,0.003030
1517,ASTROPARTICLE PHYSICS,"3,340",3.425,0.008380
1517,American Journal of Cancer Research,"1,060",3.425,0.003680
1517,EUROPEAN JOURNAL OF SOIL SCIENCE,"5,049",3.425,0.006930
1517,HISTOPATHOLOGY,"8,983",3.425,0.015510
1521,GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,"1,204",3.424,0.003240
1522,Journal of Oral Microbiology,304,3.421,0.001200
1523,Materials Science & Engineering C-Materials for Biological Applications,"11,988",3.420,0.020910
1524,MEDIATORS OF INFLAMMATION,"5,537",3.418,0.017040
1525,Advances in Insect Physiology,651,3.417,0.000800
1525,Rice,659,3.417,0.002180
1527,ENTREPRENEURSHIP THEORY AND PRACTICE,"4,939",3.414,0.007700
1528,VACCINE,"37,148",3.413,0.082890
1529,MARINE CHEMISTRY,"9,112",3.412,0.007430
1530,COGNITION,"13,323",3.411,0.023620
1531,DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,"4,202",3.408,0.007190
1531,JOURNAL OF NEUROLOGY,"11,701",3.408,0.023950
1533,BIOGEOCHEMISTRY,"8,969",3.407,0.014350
1533,Pain Physician,"3,082",3.407,0.007210
1533,Pituitary,"1,830",3.407,0.003880
1536,BMC EVOLUTIONARY BIOLOGY,"10,666",3.406,0.032050
1537,RENEWABLE ENERGY,"19,716",3.404,0.037280
1538,CEMENT & CONCRETE COMPOSITES,"6,941",3.399,0.012970
1538,PATTERN RECOGNITION,"17,442",3.399,0.028360
1540,Frontiers in Neuroscience,"4,322",3.398,0.021260
1541,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,"16,329",3.395,0.023620
1542,BUILDING AND ENVIRONMENT,"12,520",3.394,0.019030
1543,Frontiers in Behavioral Neuroscience,"3,470",3.392,0.015280
1544,AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,"4,274",3.391,0.008960
1544,BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,"3,906",3.391,0.003960
1546,AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,"16,715",3.390,0.024670
1546,NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,"4,214",3.390,0.011260
1548,CATALYSIS COMMUNICATIONS,"12,868",3.389,0.017480
1549,FOOD CONTROL,"11,545",3.388,0.023920
1550,Current HIV/AIDS Reports,"1,080",3.387,0.004820
1551,CURRENT GENETICS,"2,872",3.385,0.001760
1551,Human Genomics,771,3.385,0.002480
1551,NEUROCHEMISTRY INTERNATIONAL,"7,290",3.385,0.013020
1554,Journal of Attention Disorders,"2,263",3.384,0.005190
1554,Journal of Attention Disorders,"2,263",3.384,0.005190
1556,ICARUS,"20,194",3.383,0.044450
1557,STRATEGIC MANAGEMENT JOURNAL,"21,139",3.380,0.019270
1558,JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY,"8,435",3.379,0.012440
1559,EXPERIMENTAL CELL RESEARCH,"18,884",3.378,0.025120
1559,Essays in Biochemistry,828,3.378,0.002460
1561,ATMOSPHERIC RESEARCH,"6,905",3.377,0.016090
1562,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,"33,829",3.376,0.055820
1563,MOLECULAR IMMUNOLOGY,"9,417",3.375,0.015000
1564,EUROPEAN PSYCHOLOGIST,922,3.372,0.001950
1565,Integrative Biology,"2,238",3.371,0.009600
1566,MEDICAL EDUCATION,"7,539",3.369,0.013520
1566,MEDICAL JOURNAL OF AUSTRALIA,"9,739",3.369,0.016740
1568,Advanced Materials Interfaces,755,3.365,0.002600
1569,EUROPEAN UROLOGY SUPPLEMENTS,685,3.364,0.001070
1569,INFORMATION SCIENCES,"16,792",3.364,0.036970
1569,Progress in Molecular Biology and Translational Science,"1,487",3.364,0.007190
1572,PLANT SCIENCE,"11,941",3.362,0.014340
1573,Biomedical Materials,"2,230",3.361,0.004180
1573,European Journal of Preventive Cardiology,"1,777",3.361,0.007490
1573,INTERNATIONAL JOURNAL OF HYPERTHERMIA,"2,517",3.361,0.003770
1576,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"26,086",3.360,0.037590
1576,ORGANIZATION SCIENCE,"13,837",3.360,0.024220
1578,CEREBROVASCULAR DISEASES,"5,518",3.359,0.012300
1579,ATHEROSCLEROSIS SUPPLEMENTS,717,3.356,0.001090
1580,ACS Medicinal Chemistry Letters,"3,206",3.355,0.013130
1580,JOURNAL OF SCHOOL PSYCHOLOGY,"2,347",3.355,0.004610
1582,EXPERIMENTAL GERONTOLOGY,"7,318",3.350,0.013560
1583,DRUG AND ALCOHOL DEPENDENCE,"14,451",3.349,0.031100
1583,DRUG AND ALCOHOL DEPENDENCE,"14,451",3.349,0.031100
1583,MICROPOROUS AND MESOPOROUS MATERIALS,"19,448",3.349,0.026940
1586,OBESITY SURGERY,"9,104",3.346,0.017110
1587,Annual Review of Virology,97,3.345,0.000560
1587,Future Medicinal Chemistry,"2,478",3.345,0.008640
1587,Marine Drugs,"5,437",3.345,0.013870
1590,Biomedical Optics Express,"4,669",3.344,0.019490
1590,CLIMATIC CHANGE,"14,317",3.344,0.039470
1592,SYSTEMATIC ENTOMOLOGY,"1,925",3.343,0.004310
1593,IEEE TRANSACTIONS ON POWER SYSTEMS,"19,415",3.342,0.035630
1594,HIV MEDICINE,"2,329",3.341,0.007520
1595,HORMONES AND BEHAVIOR,"9,163",3.340,0.015950
1596,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,"3,519",3.339,0.006760
1596,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,"3,519",3.339,0.006760
1596,SLEEP MEDICINE,"6,554",3.339,0.015910
1599,TOXICOLOGY IN VITRO,"7,660",3.338,0.012610
1600,OCEAN MODELLING,"3,030",3.337,0.009290
1601,ARTIFICIAL INTELLIGENCE,"6,641",3.333,0.009000
1601,EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,"1,868",3.333,0.004550
1603,CURRENT OPINION IN HEMATOLOGY,"2,650",3.331,0.007660
1603,JOURNAL OF COMPARATIVE NEUROLOGY,"30,946",3.331,0.021560
1605,ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,"3,419",3.326,0.005160
1606,KNOWLEDGE-BASED SYSTEMS,"4,811",3.325,0.013260
1607,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,"30,695",3.324,0.036800
1607,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,"4,686",3.324,0.007780
1609,JOURNAL OF HEAD TRAUMA REHABILITATION,"3,274",3.323,0.004940
1609,JOURNAL OF HEAD TRAUMA REHABILITATION,"3,274",3.323,0.004940
1611,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,"11,388",3.322,0.021290
1612,JOURNAL OF GEOPHYSICAL RESEARCH,"198,092",3.318,0.304860
1612,JOURNAL OF POLYMER SCIENCE PART B-POLYMER PHYSICS,"13,078",3.318,0.012380
1612,PSYCHIATRY-INTERPERSONAL AND BIOLOGICAL PROCESSES,"1,764",3.318,0.001890
1612,PSYCHIATRY-INTERPERSONAL AND BIOLOGICAL PROCESSES,"1,764",3.318,0.001890
1616,ACS Combinatorial Science,"1,253",3.317,0.003880
1616,Critical Care and Resuscitation,783,3.317,0.003100
1616,Mindfulness,871,3.317,0.002850
1619,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,"8,456",3.315,0.007860
1620,JOURNAL OF REFRACTIVE SURGERY,"3,877",3.314,0.009040
1621,Wiley Interdisciplinary Reviews-Climate Change,"1,438",3.313,0.008970
1621,Wiley Interdisciplinary Reviews-Climate Change,"1,438",3.313,0.008970
1623,BRITISH JOURNAL OF NUTRITION,"21,599",3.311,0.037520
1624,NEUROGASTROENTEROLOGY AND MOTILITY,"5,721",3.310,0.014940
1625,BioEnergy Research,"2,086",3.309,0.006040
1625,SURGERY,"17,049",3.309,0.027920
1627,Advances in Heterocyclic Chemistry,853,3.308,0.000460
1628,Cell Adhesion & Migration,"1,488",3.306,0.005980
1629,ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,"2,321",3.305,0.004130
1629,SCRIPTA MATERIALIA,"24,078",3.305,0.044060
1631,Beneficial Microbes,572,3.301,0.001910
1631,COMMUNICATIONS OF THE ACM,"12,458",3.301,0.019370
1633,IEEE JOURNAL OF SOLID-STATE CIRCUITS,"13,917",3.299,0.031730
1633,SEPARATION AND PURIFICATION TECHNOLOGY,"17,259",3.299,0.028450
1635,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,"13,873",3.297,0.021590
1636,TRANSPORTATION SCIENCE,"3,945",3.295,0.004720
1636,TRANSPORTATION SCIENCE,"3,945",3.295,0.004720
1638,INTERNATIONAL JOURNAL OF COAL GEOLOGY,"6,659",3.294,0.009630
1639,SURVEY OF OPHTHALMOLOGY,"4,442",3.292,0.004800
1640,JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,"6,295",3.290,0.001620
1640,Orphanet Journal of Rare Diseases,"3,704",3.290,0.013670
1642,RSC Advances,"56,444",3.289,0.129930
1642,SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY,"7,010",3.289,0.007380
1644,Contrast Media & Molecular Imaging,"1,199",3.286,0.002930
1645,Child Development Perspectives,"1,281",3.284,0.006630
1646,GLYCOBIOLOGY,"7,103",3.283,0.010440
1647,INVESTIGATIONAL NEW DRUGS,"3,820",3.281,0.010460
1648,Nutrition & Metabolism,"2,239",3.280,0.006280
1648,RESOURCES CONSERVATION AND RECYCLING,"6,260",3.280,0.010330
1650,ENDOCRINE,"4,190",3.279,0.008190
1651,NEW JOURNAL OF CHEMISTRY,"14,589",3.277,0.022360
1652,BEHAVIOR THERAPY,"4,230",3.276,0.007700
1653,Asian Journal of Organic Chemistry,"1,206",3.275,0.004140
1653,GENES BRAIN AND BEHAVIOR,"3,380",3.275,0.008100
1653,INTERNATIONAL SECURITY,"1,914",3.275,0.004370
1656,BEHAVIOR GENETICS,"3,208",3.268,0.005870
1656,BEHAVIOR GENETICS,"3,208",3.268,0.005870
1658,BEST PRACTICE & RESEARCH IN CLINICAL RHEUMATOLOGY,"2,750",3.267,0.006210
1659,BMC CANCER,"17,676",3.265,0.052540
1659,JOURNAL OF INDUSTRIAL ECOLOGY,"3,359",3.265,0.006480
1659,Nutrition Journal,"3,048",3.265,0.009110
1662,EPISODES,"1,761",3.263,0.001860
1662,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,"15,442",3.263,0.023580
1664,JOURNAL OF INTENSIVE CARE MEDICINE,970,3.262,0.002400
1665,Frontiers in Neuroanatomy,"1,560",3.260,0.007630
1665,PHARMACEUTICAL RESEARCH,"20,220",3.260,0.018480
1667,JOURNAL OF CARDIAC FAILURE,"4,488",3.259,0.010840
1668,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,"18,190",3.257,0.055090
1669,JOURNAL OF EDUCATIONAL PSYCHOLOGY,"12,022",3.256,0.012430
1669,JOURNAL OF INTERACTIVE MARKETING,"1,660",3.256,0.002000
